model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Focus,2016,16250,Manual,19500,Petrol,200,41.5,2
 Focus,2016,13750,Manual,38000,Diesel,20,67.3,2
 Focus,2012,4499,Manual,93193,Petrol,145,47.9,1.6
 Focus,2017,11500,Automatic,29755,Petrol,145,51.4,1
 Fiesta,2009,3989,Manual,88733,Petrol,150,49.6,1.4
 Focus,2019,19000,Manual,4800,Petrol,145,45.6,1.5
 Fiesta,2012,5250,Manual,67000,Diesel,20,68.9,1.6
 Fiesta,2016,7750,Manual,45000,Petrol,0,65.7,1
 Fiesta,2018,13000,Manual,3000,Petrol,145,61.4,1
 EcoSport,2016,8000,Manual,58000,Petrol,125,53.3,1
 Focus,2013,6250,Manual,53000,Petrol,145,47.9,1.6
 Focus,2019,15500,Manual,10000,Petrol,145,60.1,1
 Focus,2020,20000,Manual,100,Petrol,145,60.1,1
 Focus,2017,16489,Manual,17155,Diesel,145,67.3,2
 Fiesta,2017,8289,Manual,28405,Petrol,150,65.7,1
 Focus,2018,14789,Manual,10444,Petrol,145,60.1,1
 Fiesta,2010,3689,Manual,76648,Petrol,145,49.6,1.4
 Focus,2016,9388,Semi-Auto,32780,Diesel,0,67.3,1.5
 Fiesta,2019,12389,Manual,14948,Petrol,145,65.7,1
 Fiesta,2016,8000,Manual,28000,Petrol,0,65.7,1
 Focus,2018,14500,Manual,9000,Petrol,145,50.4,1.5
 Fiesta,2012,4650,Manual,52000,Petrol,125,50.4,1.2
 Fiesta,2017,8800,Manual,16000,Petrol,150,54.3,1.2
 Fiesta,2016,8000,Manual,40000,Petrol,0,65.7,1
 Fiesta,2017,8750,Manual,19000,Petrol,125,54.3,1.2
 Focus,2019,13989,Manual,14413,Petrol,145,58.9,1
 EcoSport,2019,14989,Manual,9171,Petrol,145,53.3,1
 Fiesta,2019,12489,Manual,11623,Petrol,145,58.9,1
 Focus,2015,7489,Manual,51864,Diesel,20,67.3,1.6
 Focus,2017,11689,Manual,14132,Diesel,0,74.3,1.5
 Focus,2019,24989,Manual,6760,Petrol,150,34.5,2.3
 Focus,2018,13289,Manual,13387,Diesel,150,74.3,1.5
 Focus,2019,15489,Manual,6889,Petrol,145,60.1,1
 Focus,2017,10689,Manual,15337,Diesel,0,74.3,1.5
 Focus,2018,12989,Manual,9884,Petrol,145,60.1,1
 Fiesta,2017,9489,Manual,34180,Petrol,145,65.7,1
 Fiesta,2017,8900,Manual,25520,Petrol,125,54.3,1.2
 Fiesta,2013,6489,Manual,47157,Petrol,30,54.3,1.2
 Focus,2018,11589,Manual,17997,Petrol,145,60.1,1
 EcoSport,2017,9489,Manual,22798,Petrol,145,52.3,1
 Focus,2018,12189,Manual,10283,Petrol,145,60.1,1
 Fiesta,2011,4489,Manual,67145,Petrol,125,50.4,1.2
 EcoSport,2019,16489,Manual,5529,Petrol,145,51.4,1
 Fiesta,2018,9789,Manual,16577,Petrol,145,65.7,1
 Fiesta,2018,9289,Manual,16086,Petrol,145,64.2,1.1
 Fiesta,2018,9688,Manual,17157,Petrol,145,65.7,1
 Fiesta,2017,8889,Manual,10951,Petrol,145,64.2,1.1
 Fiesta,2018,9889,Manual,14085,Petrol,145,65.7,1
 Focus,2017,13000,Manual,24484,Diesel,145,70.6,0
 Focus,2017,12000,Manual,18116,Diesel,145,74.3,1.5
 EcoSport,2016,8800,Manual,27692,Petrol,125,53.3,1
 Fiesta,2014,8000,Manual,30226,Diesel,0,76.4,1.5
 Focus,2018,11989,Manual,29086,Diesel,145,74.3,1.5
 Fiesta,2017,9489,Manual,29307,Petrol,145,65.7,1
 Fiesta,2017,8989,Manual,16939,Petrol,0,65.7,1
 Fiesta,2017,9989,Manual,5561,Petrol,0,65.7,1
 Fiesta,2016,8489,Manual,25320,Petrol,125,54.3,1.2
 Focus,2018,13989,Automatic,16064,Petrol,145,51.4,1
 Fiesta,2013,5989,Manual,54581,Petrol,30,54.3,1.2
 Fiesta,2017,10489,Manual,21518,Petrol,145,62.8,1
 Focus,2017,10289,Manual,20254,Diesel,0,74.3,1.5
 Fiesta,2018,9500,Manual,27461,Petrol,145,64.2,1.1
 Fiesta,2019,12700,Manual,11151,Petrol,145,60.1,1
 Fiesta,2017,9700,Manual,11186,Petrol,0,65.7,1
 Focus,2019,18400,Manual,8230,Diesel,145,74.3,1.5
 Fiesta,2017,10000,Manual,27284,Petrol,145,65.7,1
 Fiesta,2017,10000,Manual,6311,Petrol,0,65.7,1
 Fiesta,2016,8389,Manual,18017,Petrol,125,54.3,1.2
 Fiesta,2018,11188,Manual,23493,Diesel,145,88.3,1.5
 Fiesta,2017,9489,Manual,37566,Petrol,0,65.7,1
 EcoSport,2014,8689,Manual,30817,Petrol,125,53.3,1
 Focus,2018,10189,Manual,36347,Petrol,145,60.1,1
 Fiesta,2018,10989,Manual,13496,Petrol,145,65.7,1
 Focus,2017,9989,Manual,16299,Diesel,0,74.3,1.5
 Fiesta,2018,8788,Manual,33610,Petrol,145,64.2,1.1
 Fiesta,2018,9998,Manual,2332,Petrol,145,55.4,1.1
 Fiesta,2015,7299,Manual,42324,Diesel,0,88.3,1.5
 Focus,2018,13445,Manual,19672,Petrol,145,60.1,1
 EcoSport,2017,9199,Manual,18895,Petrol,145,53.3,1
 Focus,2013,5499,Manual,84000,Diesel,20,67.3,1.6
 Focus,2015,6499,Automatic,72000,Petrol,165,44.8,1.6
 Fiesta,2014,4799,Manual,74000,Petrol,0,65.7,1
 Fiesta,2009,3495,Manual,92836,Petrol,145,49.6,1.4
 Fiesta,2017,7995,Manual,18020,Petrol,125,54.3,1.2
 Fiesta,2016,8995,Manual,28105,Petrol,0,65.7,1
 Focus,2019,13980,Manual,12632,Petrol,145,60.1,1
 Focus,2019,17990,Automatic,3289,Diesel,145,74.3,1.5
 Focus,2018,14990,Manual,1850,Petrol,145,60.1,1
 Focus,2017,10899,Automatic,13879,Petrol,125,51.4,1
 Focus,2018,13699,Manual,5342,Petrol,150,58.9,1
 Focus,2017,10280,Manual,12257,Diesel,145,74.3,1.5
 Fiesta,2018,12290,Manual,5093,Petrol,145,58.9,1
 Fiesta,2012,3690,Manual,95299,Diesel,0,68.9,1.6
 Focus,2013,6729,Manual,71098,Diesel,20,67.3,1.6
 Focus,2013,4999,Manual,83772,Diesel,0,76.4,1.6
 Focus,2014,6295,Manual,66278,Petrol,30,56.5,1
 Fiesta,2018,15000,Manual,22006,Petrol,145,40.3,1.5
 Fiesta,2014,6499,Manual,52000,Petrol,0,65.7,1
 Fiesta,2016,7499,Manual,29000,Petrol,125,54.3,1.2
 Focus,2013,6995,Automatic,35850,Petrol,165,44.1,1.6
 Fiesta,2016,8780,Manual,15695,Petrol,0,65.7,1
 Focus,2017,12199,Manual,8600,Petrol,145,57.7,1
 Fiesta,2015,6199,Manual,40700,Petrol,125,54.3,1.2
 Fiesta,2014,7599,Manual,26536,Petrol,0,65.7,1
 Fiesta,2018,9499,Manual,10264,Petrol,145,58.9,1
 Focus,2018,12610,Manual,26052,Petrol,145,57.7,1
 Fiesta,2014,8879,Automatic,12945,Petrol,145,47.9,1.6
 Focus,2015,10899,Manual,14929,Diesel,0,74.3,1.5
 Focus,2015,9000,Manual,33917,Petrol,20,60.1,1
 Fiesta,2016,10000,Manual,19934,Petrol,0,65.7,1
 Fiesta,2016,7900,Manual,40284,Petrol,125,54.3,1.2
 Fiesta,2017,9000,Manual,15809,Petrol,150,65.7,1
 Focus,2015,9200,Manual,32000,Petrol,20,60.1,1
 Fiesta,2015,7489,Manual,51950,Petrol,20,62.8,1
 Fiesta,2018,15489,Manual,6355,Petrol,145,62.8,1
 EcoSport,2017,9989,Manual,27240,Petrol,145,53.3,1
 Fiesta,2018,10498,Manual,12229,Petrol,145,58.9,1
 Fiesta,2017,8990,Manual,33553,Petrol,0,65.7,1
 Fiesta,2018,9990,Manual,14440,Petrol,145,65.7,1
 Focus,2019,19300,Automatic,1592,Petrol,150,51.4,1
 Fiesta,2017,11000,Manual,17025,Diesel,145,78.5,1.5
 Focus,2014,7599,Manual,54672,Diesel,20,67.3,1.6
 Fiesta,2018,10999,Manual,18821,Petrol,145,56.5,1
 Focus,2018,12699,Manual,8839,Petrol,145,57.7,1
 Fiesta,2016,7999,Manual,18435,Petrol,125,54.3,1.2
 Fiesta,2015,7695,Manual,28200,Petrol,30,54.3,1.2
 Fiesta,2013,7995,Automatic,27500,Petrol,145,47.9,1.6
 EcoSport,2017,11995,Manual,18000,Petrol,145,52.3,1
 Fiesta,2017,8900,Manual,26118,Petrol,150,54.3,1.2
 Focus,2017,11000,Manual,12358,Petrol,20,60.1,1
 Focus,2017,12000,Manual,36851,Diesel,150,74.3,1.5
 Fiesta,2016,8999,Manual,14268,Petrol,0,65.7,1
 Fiesta,2017,8499,Manual,12606,Petrol,145,54.3,1.2
 Fiesta,2017,7499,Manual,32796,Petrol,0,65.7,1
 Fiesta,2018,7899,Manual,30390,Petrol,145,64.2,1.1
 Fiesta,2018,9899,Manual,22115,Diesel,145,85.6,1.5
 EcoSport,2017,9199,Manual,29778,Petrol,125,52.3,1
 Focus,2015,8599,Manual,26664,Diesel,0,74.3,1.5
 Focus,2016,9299,Manual,26805,Diesel,0,74.3,1.5
 Focus,2015,9199,Manual,45045,Diesel,0,74.3,1.5
 Fiesta,2013,5750,Manual,45761,Petrol,30,54.3,1.2
 Fiesta,2015,6995,Manual,41198,Petrol,0,65.7,1
 Focus,2016,8450,Manual,23854,Diesel,0,74.3,1.5
 Focus,2017,12452,Manual,18729,Petrol,145,50.4,1.5
 Focus,2016,7999,Manual,66442,Diesel,0,74.3,1.5
 Focus,2015,9999,Manual,13946,Diesel,0,74.3,1.5
 Focus,2018,12399,Manual,15420,Petrol,145,57.7,1
 Focus,2015,7099,Manual,74176,Diesel,0,74.3,1.5
 Fiesta,2015,7599,Manual,24329,Diesel,0,78.5,1.5
 Focus,2011,9199,Manual,47304,Petrol,325,30.4,2.5
 Fiesta,2016,8299,Manual,13788,Petrol,125,54.3,1.2
 Fiesta,2016,7250,Manual,39482,Diesel,0,78.5,1.5
 Fiesta,2016,8999,Manual,21975,Petrol,0,65.7,1
 Focus,2016,9850,Manual,20764,Diesel,0,74.3,1.5
 Focus,2017,11850,Manual,18466,Diesel,145,74.3,1.5
 Fiesta,2014,5699,Manual,43288,Diesel,0,85.6,1.6
 Focus,2015,7468,Manual,66825,Diesel,0,74.3,1.5
 Fiesta,2015,6750,Manual,11900,Petrol,125,54.3,1.2
 Fiesta,2016,7560,Manual,46924,Diesel,0,88.3,1.5
 EcoSport,2018,14105,Manual,13953,Petrol,145,54.3,1
 Focus,2016,9699,Manual,42330,Diesel,0,74.3,1.5
 Focus,2016,7299,Manual,88993,Diesel,0,74.3,1.5
 Focus,2014,8175,Manual,36008,Diesel,20,67.3,1.6
 Focus,2017,10499,Manual,29396,Diesel,0,74.3,1.5
 Focus,2012,9799,Manual,54750,Petrol,235,39.2,2
 Fiesta,2014,7299,Manual,57982,Petrol,0,65.7,1
 Fiesta,2013,6699,Manual,33542,Petrol,0,65.7,1
 Fiesta,2015,9599,Automatic,27438,Petrol,0,57.7,1
 Focus,2017,10499,Manual,19530,Petrol,145,61.4,1
 Fiesta,2018,13946,Automatic,13724,Petrol,145,49.6,1
 Focus,2017,15395,Manual,26908,Diesel,145,67.3,2
 Focus,2018,13231,Manual,11856,Petrol,145,57.7,1
 Fiesta,2015,7899,Manual,30125,Petrol,0,65.7,1
 Fiesta,2013,4599,Manual,73611,Diesel,0,76.4,1.5
 Focus,2014,7495,Manual,29352,Diesel,20,67.3,1.6
 Focus,2017,11595,Manual,25392,Petrol,145,60.1,1
 Focus,2014,7983,Automatic,29390,Petrol,160,44.8,1.6
 Focus,2016,9920,Manual,34894,Petrol,20,60.1,1
 Fiesta,2016,8277,Manual,18543,Petrol,125,54.3,1.2
 Focus,2018,17182,Manual,15672,Petrol,145,41.5,2
 Fiesta,2014,6614,Manual,28694,Petrol,30,54.3,1.2
 Focus,2016,9099,Automatic,39191,Diesel,20,67.3,1.5
 Fiesta,2014,4995,Manual,82809,Diesel,0,76.4,1.5
 Fiesta,2018,10999,Manual,28337,Petrol,145,65.7,1
 Fiesta,2017,8999,Manual,26740,Diesel,145,85.6,1.5
 Focus,2017,12295,Manual,13849,Diesel,145,74.3,1.5
 Focus,2017,11850,Manual,15013,Diesel,145,74.3,1.5
 Focus,2016,15799,Manual,19750,Petrol,200,41.5,2
 Fiesta,2015,8750,Manual,15548,Petrol,0,65.7,1
 Focus,2017,12612,Manual,8974,Petrol,145,57.7,1
 Fiesta,2017,7699,Manual,27426,Petrol,0,65.7,1
 Fiesta,2016,8399,Manual,15382,Petrol,0,65.7,1
 Fiesta,2016,10199,Manual,18010,Petrol,0,65.7,1
 Fiesta,2016,7499,Manual,27243,Petrol,125,54.3,1.2
 Focus,2015,8999,Manual,20300,Petrol,20,58.9,1
 Fiesta,2018,9999,Manual,42415,Petrol,145,56.5,1
 Focus,2017,11599,Manual,21618,Petrol,145,57.7,1
 Fiesta,2017,8388,Manual,24784,Petrol,125,54.3,1.2
 Fiesta,2015,7342,Manual,19562,Petrol,0,65.7,1
 Fiesta,2016,8912,Manual,21840,Petrol,0,65.7,1
 Fiesta,2018,10999,Manual,28323,Petrol,145,65.7,1
 Fiesta,2018,10151,Manual,24664,Diesel,145,55.4,1.5
 Focus,2017,11886,Manual,19798,Diesel,145,74.3,1.5
 Focus,2016,6891,Manual,97190,Diesel,20,70.6,2
 Focus,2017,12099,Manual,14439,Diesel,145,74.3,1.5
 Focus,2016,14312,Manual,40536,Diesel,20,67.3,2
 EcoSport,2018,12495,Manual,16579,Petrol,145,54.3,1
 Fiesta,2018,13995,Automatic,6025,Petrol,145,48.7,1
 Fiesta,2018,13495,Manual,14219,Petrol,145,62.8,1
 EcoSport,2017,9795,Manual,42469,Petrol,145,64.2,1.5
 Fiesta,2017,10995,Manual,11129,Petrol,145,65.7,1
 EcoSport,2016,8995,Manual,32918,Diesel,30,64.2,1.5
 Fiesta,2018,11995,Manual,15329,Petrol,145,65.7,1
 Focus,2017,12495,Manual,35027,Petrol,20,60.1,1
 Focus,2018,16495,Manual,34207,Diesel,150,54.3,2
 Fiesta,2017,10495,Manual,15704,Petrol,150,65.7,1
 Fiesta,2018,12995,Automatic,24029,Petrol,150,54.3,1
 EcoSport,2017,10495,Manual,20772,Petrol,150,52.3,1
 Fiesta,2017,8995,Manual,23267,Petrol,150,64.2,1.1
 Focus,2017,11995,Manual,22167,Petrol,150,60.1,1
 EcoSport,2017,10495,Automatic,34075,Petrol,150,44.8,1.5
 Fiesta,2015,7499,Manual,31000,Petrol,125,54.3,1.2
 Focus,2017,10999,Manual,32133,Diesel,145,74.3,1.5
 Fiesta,2016,7499,Manual,27775,Petrol,125,54.3,1.2
 Focus,2015,13000,Manual,46007,Diesel,20,67.3,2
 Fiesta,2018,10799,Manual,20748,Petrol,145,65.7,1
 EcoSport,2017,9450,Manual,33000,Petrol,145,52.3,1
 Fiesta,2013,7750,Manual,25000,Petrol,0,65.7,1
 Fiesta,2011,4495,Manual,62000,Petrol,150,48.7,1.4
 Focus,2013,6480,Manual,49000,Diesel,20,67.3,1.6
 Focus,2017,10999,Manual,37000,Petrol,145,60.1,1
 Focus,2008,1290,Manual,137000,Diesel,150,54.3,1.8
 Focus,2016,15900,Manual,19488,Diesel,20,67.3,2
 Fiesta,2018,10770,Manual,17202,Petrol,145,65.7,1
 Fiesta,2018,9680,Manual,37960,Petrol,145,65.7,1
 Fiesta,2018,9900,Manual,32950,Petrol,145,65.7,1
 Fiesta,2015,7350,Manual,66445,Petrol,20,62.8,1
 Fiesta,2015,8650,Manual,29022,Petrol,20,62.8,1
 Fiesta,2018,9099,Manual,11900,Petrol,145,55.4,1.1
 Fiesta,2017,7599,Manual,14226,Petrol,125,54.3,1.2
 Fiesta,2018,10495,Manual,26460,Petrol,150,65.7,1
 EcoSport,2018,13995,Manual,9515,Petrol,150,54.3,1
 Fiesta,2016,9750,Manual,22000,Petrol,0,65.7,1
 Fiesta,2017,12495,Manual,32163,Petrol,150,47.9,1.6
 EcoSport,2017,10995,Manual,9532,Petrol,150,52.3,1
 Focus,2018,13995,Manual,16063,Petrol,150,60.1,1
 EcoSport,2019,15995,Manual,5000,Petrol,145,53.3,1
 Focus,2017,10750,Manual,34000,Petrol,20,60.1,1
 Focus,2013,6250,Manual,44000,Petrol,30,56.5,1
 Fiesta,2016,9495,Manual,18000,Petrol,0,65.7,1
 Fiesta,2016,9495,Manual,27000,Petrol,0,65.7,1
 Fiesta,2018,11750,Manual,13000,Petrol,145,65.7,1
 Focus,2019,17995,Manual,2000,Petrol,145,49.6,1
 Fiesta,2017,11995,Automatic,10000,Petrol,0,57.7,1
 Fiesta,2007,1400,Manual,63000,Petrol,145,47.1,1.2
 Focus,2019,17495,Manual,5225,Petrol,145,60.1,1
 Fiesta,2017,8895,Manual,14037,Petrol,125,54.3,1.2
 Focus,2015,8499,Manual,51879,Diesel,0,74.3,1.5
 EcoSport,2018,15490,Automatic,8817,Petrol,145,45.6,1
 EcoSport,2017,9980,Manual,21893,Petrol,145,52.3,1
 Focus,2016,7880,Manual,71661,Diesel,0,74.3,1.5
 EcoSport,2017,8995,Manual,42462,Petrol,125,52.3,1
 Fiesta,2017,10495,Manual,24914,Petrol,145,65.7,1
 Focus,2017,11995,Manual,23516,Petrol,145,60.1,1
 Fiesta,2016,7495,Manual,33383,Petrol,125,54.3,1.2
 Focus,2017,15495,Manual,32294,Diesel,145,67.3,2
 Fiesta,2017,9995,Automatic,7497,Petrol,0,57.7,1
 Fiesta,2018,9995,Manual,12873,Petrol,150,64.2,1.1
 Fiesta,2014,7495,Manual,26665,Petrol,0,65.7,1
 Fiesta,2016,5850,Manual,66115,Diesel,0,78.5,1.5
 Fiesta,2016,9950,Manual,23940,Petrol,145,47.9,1.6
 Fiesta,2017,11750,Manual,23782,Petrol,145,47.9,1.6
 Focus,2018,11750,Manual,11829,Petrol,145,57.7,1
 Focus,2005,1475,Automatic,88746,Petrol,265,36.7,1.6
 Focus,2017,16950,Manual,17856,Petrol,205,41.5,2
 Focus,2014,4990,Manual,91938,Diesel,20,67.3,1.6
 Focus,2015,7295,Manual,83823,Diesel,0,74.3,1.5
 EcoSport,2017,9395,Manual,41702,Petrol,150,52.3,1
 Fiesta,2017,9800,Manual,27196,Petrol,150,65.7,1
 Fiesta,2015,8200,Manual,21718,Petrol,0,65.7,1
 Fiesta,2015,8795,Semi-Auto,21091,Petrol,150,47.9,1.6
 Focus,2019,15995,Manual,11900,Petrol,145,60.1,1
 Fiesta,2018,9495,Manual,8563,Petrol,145,64.2,1.1
 Fiesta,2017,9995,Manual,9148,Petrol,145,65.7,1
 Fiesta,2018,10495,Manual,16275,Petrol,145,65.7,1
 Fiesta,2018,12495,Manual,12012,Petrol,145,65.7,1
 Fiesta,2018,11995,Manual,13832,Petrol,145,65.7,1
 EcoSport,2017,10495,Manual,31045,Petrol,145,44.8,1.5
 EcoSport,2019,14995,Manual,14145,Petrol,150,53.3,1
 Fiesta,2016,9495,Semi-Auto,28741,Petrol,0,65.7,1
 Fiesta,2017,10500,Manual,27833,Petrol,150,62.8,1
 Focus,2015,8250,Manual,62706,Diesel,0,74.3,1.5
 Focus,2019,18795,Manual,1342,Petrol,150,60.1,1
 EcoSport,2019,14999,Manual,8260,Petrol,145,53.3,1
 Fiesta,2018,11395,Manual,10602,Petrol,145,58.9,1
 Fiesta,2018,11695,Manual,10375,Petrol,145,58.9,1
 Focus,2018,15250,Manual,6367,Petrol,145,58.9,1
 Focus,2019,16495,Manual,6344,Petrol,145,49.6,1
 Fiesta,2017,10495,Automatic,13650,Petrol,145,57.7,1
 Fiesta,2018,10995,Manual,11840,Petrol,145,58.9,1
 Fiesta,2019,14795,Manual,2159,Petrol,145,58.9,1
 Fiesta,2019,17250,Manual,7694,Petrol,145,60.1,1
 Fiesta,2019,12999,Manual,15061,Petrol,145,56.5,1
 Fiesta,2018,9995,Manual,26473,Petrol,150,55.4,1.1
 Fiesta,2018,14495,Manual,8845,Petrol,150,55.4,1
 Fiesta,2017,7995,Manual,36189,Petrol,150,65.7,1
 Fiesta,2014,6999,Manual,30029,Petrol,0,65.7,1
 Focus,2009,3575,Manual,50975,Diesel,160,51.4,2
 Fiesta,2018,9995,Manual,15522,Petrol,145,65.7,1
 Fiesta,2017,11995,Manual,13558,Petrol,145,65.7,1
 Fiesta,2019,15995,Manual,10956,Petrol,145,58.9,1
 Focus,2015,12991,Manual,49605,Diesel,20,67.3,2
 Focus,2016,9491,Manual,45526,Diesel,0,74.3,1.5
 Fiesta,2016,8100,Manual,15411,Petrol,125,54.3,1.2
 Focus,2019,18999,Manual,6696,Diesel,145,70.6,2
 Focus,2019,18999,Automatic,5572,Diesel,145,74.3,1.5
 Fiesta,2018,12470,Manual,6653,Diesel,145,88.3,1.5
 Focus,2017,15750,Manual,43499,Diesel,20,67.3,2
 Fiesta,2019,10995,Manual,16552,Petrol,145,58.9,1
 Fiesta,2019,15600,Automatic,4902,Petrol,145,48.7,1
 Fiesta,2018,13999,Automatic,6906,Petrol,145,48.7,1
 EcoSport,2018,12895,Manual,9281,Diesel,145,68.9,1.5
 Focus,2018,16995,Manual,7660,Petrol,145,60.1,1
 Fiesta,2018,10250,Manual,18559,Petrol,145,65.7,1
 Fiesta,2017,9795,Manual,8606,Petrol,0,65.7,1
 Fiesta,2017,9750,Manual,8500,Petrol,145,65.7,1
 Fiesta,2017,9195,Manual,14973,Petrol,145,65.7,1
 Focus,2009,3450,Manual,77466,Petrol,190,42.2,1.6
 Focus,2013,6899,Automatic,22488,Petrol,160,44.1,1.6
 Fiesta,2014,7750,Manual,19384,Petrol,30,54.3,1.2
 Fiesta,2012,4899,Manual,26375,Petrol,125,51.4,1.2
 Focus,2017,10350,Manual,32299,Diesel,145,74.3,1.5
 Focus,2019,18295,Automatic,10677,Petrol,145,41.5,1
 Focus,2016,8995,Manual,37867,Petrol,20,61.4,1
 Fiesta,2018,12795,Automatic,6386,Petrol,145,48.7,1
 Fiesta,2017,9500,Manual,15979,Petrol,0,65.7,1
 Focus,2017,10000,Manual,26488,Diesel,0,74.3,1.5
 Fiesta,2009,2500,Manual,102950,Petrol,150,49.6,1.2
 Fiesta,2007,2491,Manual,62596,Petrol,145,47.1,1.2
 Fiesta,2009,2991,Manual,79089,Petrol,145,49.6,1.2
 Fiesta,2011,4491,Manual,38831,Petrol,125,50.4,1.2
 Fiesta,2009,3491,Manual,71926,Petrol,145,49.6,1.2
 EcoSport,2018,13795,Manual,17722,Diesel,145,68.9,1.5
 Focus,2019,16498,Manual,7866,Petrol,145,49.6,1
 Focus,2018,12350,Manual,9247,Petrol,145,60.1,1
 Fiesta,2017,10995,Manual,14532,Petrol,145,65.7,1
 Focus,2015,5795,Manual,105260,Petrol,20,60.1,1
 Focus,2019,18250,Automatic,9996,Diesel,145,74.3,1.5
 Focus,2018,16995,Manual,9366,Petrol,145,60.1,1
 EcoSport,2018,13950,Manual,13200,Petrol,145,54.3,1
 Fiesta,2017,13745,Manual,11964,Petrol,145,47.9,1.6
 Fiesta,2018,9790,Manual,20207,Petrol,145,65.7,1
 Fiesta,2019,17490,Manual,5079,Petrol,150,40.3,1.5
 Focus,2016,22390,Manual,28794,Petrol,235,36.7,2.3
 Fiesta,2017,10195,Manual,34381,Petrol,145,65.7,1
 Fiesta,2015,6195,Manual,75720,Petrol,20,62.8,1
 Focus,2016,8000,Automatic,61630,Diesel,0,67.3,1.5
 Fiesta,2015,5795,Manual,25449,Petrol,30,54.3,1.2
 Fiesta,2009,3295,Manual,95000,Petrol,145,49.6,1.4
 Focus,2010,2995,Manual,114000,Petrol,200,42.2,1.6
 Fiesta,2008,1695,Manual,116000,Petrol,145,47.1,1.2
 Fiesta,2013,5995,Manual,43000,Petrol,30,54.3,1.2
 Fiesta,2015,7799,Manual,19110,Petrol,125,54.3,1.2
 Focus,2015,7299,Manual,66804,Diesel,0,74.3,1.5
 Fiesta,2016,7690,Manual,19131,Petrol,125,54.3,1.2
 EcoSport,2018,13950,Manual,3800,Petrol,145,53.3,1
 Fiesta,2016,9450,Manual,28600,Petrol,0,65.7,1
 Fiesta,2013,4000,Manual,111530,Petrol,0,65.7,1
 Fiesta,2018,10095,Manual,22790,Petrol,145,58.9,1
 Fiesta,2019,15995,Manual,13194,Petrol,145,40.3,1.5
 Fiesta,2017,8995,Manual,18792,Petrol,145,54.3,1.2
 Focus,2019,17895,Manual,1696,Petrol,145,60.1,1
 Fiesta,2017,10395,Manual,9029,Petrol,145,65.7,1
 Focus,2019,17495,Manual,2808,Petrol,145,60.1,1
 EcoSport,2019,15495,Automatic,14447,Petrol,145,45.6,1
 Focus,2017,9595,Automatic,49773,Petrol,145,51.4,1
 EcoSport,2016,10495,Automatic,11075,Petrol,160,44.8,1.5
 Fiesta,2013,6295,Manual,40820,Petrol,30,54.3,1.2
 Fiesta,2015,8500,Manual,24770,Petrol,20,62.8,1
 Focus,2016,7195,Manual,71350,Diesel,0,74.3,1.5
 Focus,2015,7695,Manual,59260,Diesel,0,74.3,1.5
 Focus,2015,9170,Manual,28000,Petrol,20,61.4,0
 Focus,2019,18699,Manual,10000,Petrol,145,46.3,0
 Fiesta,2009,3995,Manual,70000,Diesel,20,67.3,1.6
 Focus,2011,4995,Manual,69000,Petrol,150,47.1,1.6
 Focus,2017,10697,Manual,22946,Diesel,145,74.3,1.5
 Focus,2014,5895,Manual,59306,Petrol,30,56.5,1
 Fiesta,2017,9899,Manual,10000,Petrol,0,65.7,0
 EcoSport,2018,12973,Manual,23000,Petrol,145,54.3,0
 EcoSport,2019,15904,Manual,5000,Petrol,145,52.3,0
 Fiesta,2017,9204,Manual,28000,Petrol,145,65.7,0
 EcoSport,2018,11999,Manual,28000,Petrol,145,53.3,0
 Fiesta,2017,9080,Manual,20000,Petrol,0,65.7,0
 Fiesta,2017,9046,Manual,22000,Petrol,0,65.7,0
 Fiesta,2017,11783,Automatic,23000,Petrol,0,57.7,0
 Fiesta,2017,9275,Automatic,34000,Petrol,0,57.7,0
 Focus,2018,18389,Manual,19000,Petrol,145,67.3,0
 Fiesta,2019,21999,Manual,4000,Petrol,145,40.3,0
 Fiesta,2018,10903,Manual,8000,Petrol,150,65.7,0
 Focus,2017,12975,Manual,11000,Petrol,145,51.4,0
 Focus,2015,9072,Manual,23000,Petrol,20,58.9,0
 Fiesta,2018,11325,Manual,23000,Petrol,150,65.7,0
 Focus,2013,8999,Manual,34000,Petrol,150,47.1,0
 Focus,2009,2991,Manual,89969,Petrol,205,42.2,1.6
 Focus,2008,1999,Manual,101000,Petrol,200,42.2,1.6
 Fiesta,2013,5500,Manual,62187,Petrol,30,54.3,1.2
 Focus,2011,3499,Manual,84239,Petrol,235,40.4,1.8
 Fiesta,2015,10699,Manual,29600,Petrol,145,47.9,1.6
 Fiesta,2008,3499,Manual,69676,Petrol,150,49.6,1.4
 Focus,2015,6999,Manual,55336,Diesel,0,67.3,1.5
 Focus,2010,2799,Manual,100900,Petrol,205,42.2,1.6
 Focus,2018,11995,Manual,25000,Petrol,145,57.7,1
 Fiesta,2019,14295,Manual,6988,Petrol,145,65.7,1
 Focus,2013,5999,Manual,62021,Diesel,20,67.3,1.6
 Focus,2010,2495,Manual,93900,Diesel,30,62.8,1.6
 Focus,2010,3000,Manual,81124,Diesel,200,47.9,2
 Focus,2008,2495,Manual,89000,Diesel,30,62.8,1.6
 Fiesta,2017,9999,Manual,19000,Petrol,145,85.6,0
 Fiesta,2018,12124,Automatic,11000,Petrol,145,54.3,0
 Fiesta,2018,14175,Manual,9000,Petrol,150,58.9,0
 Fiesta,2014,5769,Manual,73000,Petrol,0,65.7,0
